station_name,line_name
函館,JR函館本線(函館～長万部)
五稜郭,JR函館本線(函館～長万部)
桔梗,JR函館本線(函館～長万部)
大中山,JR函館本線(函館～長万部)
七飯,JR函館本線(函館～長万部)
新函館北斗,JR函館本線(函館～長万部)
仁山,JR函館本線(函館～長万部)
大沼,JR函館本線(函館～長万部)
大沼公園,JR函館本線(函館～長万部)
赤井川,JR函館本線(函館～長万部)
駒ケ岳,JR函館本線(函館～長万部)
東山,JR函館本線(函館～長万部)
姫川,JR函館本線(函館～長万部)
池田園,JR函館本線(函館～長万部)
流山温泉,JR函館本線(函館～長万部)
銚子口,JR函館本線(函館～長万部)
鹿部,JR函館本線(函館～長万部)
渡島沼尻,JR函館本線(函館～長万部)
渡島砂原,JR函館本線(函館～長万部)
掛澗,JR函館本線(函館～長万部)
尾白内,JR函館本線(函館～長万部)
東森,JR函館本線(函館～長万部)
森,JR函館本線(函館～長万部)
桂川,JR函館本線(函館～長万部)
石谷,JR函館本線(函館～長万部)
本石倉,JR函館本線(函館～長万部)
石倉,JR函館本線(函館～長万部)
落部,JR函館本線(函館～長万部)
野田生,JR函館本線(函館～長万部)
山越,JR函館本線(函館～長万部)
八雲,JR函館本線(函館～長万部)
鷲ノ巣,JR函館本線(函館～長万部)
山崎,JR函館本線(函館～長万部)
黒岩,JR函館本線(函館～長万部)
北豊津,JR函館本線(函館～長万部)
国縫,JR函館本線(函館～長万部)
中ノ沢,JR函館本線(函館～長万部)
長万部,JR函館本線(函館～長万部)
長万部,JR函館本線(長万部～小樽)
二股,JR函館本線(長万部～小樽)
蕨岱,JR函館本線(長万部～小樽)
黒松内,JR函館本線(長万部～小樽)
熱郛,JR函館本線(長万部～小樽)
目名,JR函館本線(長万部～小樽)
蘭越,JR函館本線(長万部～小樽)
昆布,JR函館本線(長万部～小樽)
ニセコ,JR函館本線(長万部～小樽)
比羅夫,JR函館本線(長万部～小樽)
倶知安,JR函館本線(長万部～小樽)
小沢,JR函館本線(長万部～小樽)
銀山,JR函館本線(長万部～小樽)
然別,JR函館本線(長万部～小樽)
仁木,JR函館本線(長万部～小樽)
余市,JR函館本線(長万部～小樽)
蘭島,JR函館本線(長万部～小樽)
塩谷,JR函館本線(長万部～小樽)
小樽,JR函館本線(長万部～小樽)
小樽,JR函館本線(小樽～旭川)
南小樽,JR函館本線(小樽～旭川)
小樽築港,JR函館本線(小樽～旭川)
朝里,JR函館本線(小樽～旭川)
銭函,JR函館本線(小樽～旭川)
ほしみ,JR函館本線(小樽～旭川)
星置,JR函館本線(小樽～旭川)
稲穂,JR函館本線(小樽～旭川)
手稲,JR函館本線(小樽～旭川)
稲積公園,JR函館本線(小樽～旭川)
発寒,JR函館本線(小樽～旭川)
発寒中央,JR函館本線(小樽～旭川)
琴似,JR函館本線(小樽～旭川)
桑園,JR函館本線(小樽～旭川)
札幌,JR函館本線(小樽～旭川)
苗穂,JR函館本線(小樽～旭川)
白石,JR函館本線(小樽～旭川)
厚別,JR函館本線(小樽～旭川)
森林公園,JR函館本線(小樽～旭川)
大麻,JR函館本線(小樽～旭川)
野幌,JR函館本線(小樽～旭川)
高砂,JR函館本線(小樽～旭川)
江別,JR函館本線(小樽～旭川)
豊幌,JR函館本線(小樽～旭川)
幌向,JR函館本線(小樽～旭川)
上幌向,JR函館本線(小樽～旭川)
岩見沢,JR函館本線(小樽～旭川)
峰延,JR函館本線(小樽～旭川)
光珠内,JR函館本線(小樽～旭川)
美唄,JR函館本線(小樽～旭川)
茶志内,JR函館本線(小樽～旭川)
奈井江,JR函館本線(小樽～旭川)
豊沼,JR函館本線(小樽～旭川)
砂川,JR函館本線(小樽～旭川)
滝川,JR函館本線(小樽～旭川)
江部乙,JR函館本線(小樽～旭川)
妹背牛,JR函館本線(小樽～旭川)
深川,JR函館本線(小樽～旭川)
納内,JR函館本線(小樽～旭川)
伊納,JR函館本線(小樽～旭川)
近文,JR函館本線(小樽～旭川)
旭川,JR函館本線(小樽～旭川)
長万部,JR室蘭本線(長万部・室蘭～苫小牧)
静狩,JR室蘭本線(長万部・室蘭～苫小牧)
小幌,JR室蘭本線(長万部・室蘭～苫小牧)
礼文,JR室蘭本線(長万部・室蘭～苫小牧)
大岸,JR室蘭本線(長万部・室蘭～苫小牧)
豊浦,JR室蘭本線(長万部・室蘭～苫小牧)
洞爺,JR室蘭本線(長万部・室蘭～苫小牧)
有珠,JR室蘭本線(長万部・室蘭～苫小牧)
長和,JR室蘭本線(長万部・室蘭～苫小牧)
伊達紋別,JR室蘭本線(長万部・室蘭～苫小牧)
北舟岡,JR室蘭本線(長万部・室蘭～苫小牧)
稀府,JR室蘭本線(長万部・室蘭～苫小牧)
黄金,JR室蘭本線(長万部・室蘭～苫小牧)
崎守,JR室蘭本線(長万部・室蘭～苫小牧)
本輪西,JR室蘭本線(長万部・室蘭～苫小牧)
室蘭,JR室蘭本線(長万部・室蘭～苫小牧)
母恋,JR室蘭本線(長万部・室蘭～苫小牧)
御崎,JR室蘭本線(長万部・室蘭～苫小牧)
輪西,JR室蘭本線(長万部・室蘭～苫小牧)
東室蘭,JR室蘭本線(長万部・室蘭～苫小牧)
鷲別,JR室蘭本線(長万部・室蘭～苫小牧)
幌別,JR室蘭本線(長万部・室蘭～苫小牧)
富浦,JR室蘭本線(長万部・室蘭～苫小牧)
登別,JR室蘭本線(長万部・室蘭～苫小牧)
虎杖浜,JR室蘭本線(長万部・室蘭～苫小牧)
竹浦,JR室蘭本線(長万部・室蘭～苫小牧)
北吉原,JR室蘭本線(長万部・室蘭～苫小牧)
萩野,JR室蘭本線(長万部・室蘭～苫小牧)
白老,JR室蘭本線(長万部・室蘭～苫小牧)
社台,JR室蘭本線(長万部・室蘭～苫小牧)
錦岡,JR室蘭本線(長万部・室蘭～苫小牧)
糸井,JR室蘭本線(長万部・室蘭～苫小牧)
青葉,JR室蘭本線(長万部・室蘭～苫小牧)
苫小牧,JR室蘭本線(長万部・室蘭～苫小牧)
苫小牧,JR室蘭本線(苫小牧～岩見沢)
沼ノ端,JR室蘭本線(苫小牧～岩見沢)
遠浅,JR室蘭本線(苫小牧～岩見沢)
早来,JR室蘭本線(苫小牧～岩見沢)
安平,JR室蘭本線(苫小牧～岩見沢)
追分,JR室蘭本線(苫小牧～岩見沢)
三川,JR室蘭本線(苫小牧～岩見沢)
古山,JR室蘭本線(苫小牧～岩見沢)
由仁,JR室蘭本線(苫小牧～岩見沢)
栗山,JR室蘭本線(苫小牧～岩見沢)
栗丘,JR室蘭本線(苫小牧～岩見沢)
栗沢,JR室蘭本線(苫小牧～岩見沢)
志文,JR室蘭本線(苫小牧～岩見沢)
岩見沢,JR室蘭本線(苫小牧～岩見沢)
滝川,JR根室本線(滝川～富良野)
東滝川,JR根室本線(滝川～富良野)
赤平,JR根室本線(滝川～富良野)
茂尻,JR根室本線(滝川～富良野)
平岸,JR根室本線(滝川～富良野)
芦別,JR根室本線(滝川～富良野)
上芦別,JR根室本線(滝川～富良野)
野花南,JR根室本線(滝川～富良野)
島ノ下,JR根室本線(滝川～富良野)
富良野,JR根室本線(滝川～富良野)
布部,JR根室本線(滝川～富良野)
山部,JR根室本線(滝川～富良野)
下金山,JR根室本線(滝川～富良野)
金山,JR根室本線(滝川～富良野)
東鹿越,JR根室本線(滝川～富良野)
幾寅,JR根室本線(滝川～富良野)
落合,JR根室本線(滝川～富良野)
新得,JR根室本線(滝川～富良野)
新得,JR根室本線(新得～釧路)
十勝清水,JR根室本線(新得～釧路)
羽帯,JR根室本線(新得～釧路)
御影,JR根室本線(新得～釧路)
芽室,JR根室本線(新得～釧路)
大成,JR根室本線(新得～釧路)
西帯広,JR根室本線(新得～釧路)
柏林台,JR根室本線(新得～釧路)
帯広,JR根室本線(新得～釧路)
札内,JR根室本線(新得～釧路)
稲士別,JR根室本線(新得～釧路)
幕別,JR根室本線(新得～釧路)
利別,JR根室本線(新得～釧路)
池田,JR根室本線(新得～釧路)
十弗,JR根室本線(新得～釧路)
豊頃,JR根室本線(新得～釧路)
新吉野,JR根室本線(新得～釧路)
